# accession	asmId	taxId	vgpClade	Scientific_name	UCSC_common_name	NCBI_taxon_string
GCA_030936125.1	GCA_030936125.1_bGavSte3.hap1	37040	birds	Gavia_stellata	red-throated loon (hap1 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Gaviiformes;Gaviidae;Gavia;
GCA_031001685.1	GCA_031001685.1_rEryReg1.hap3	121349	vertebrate	Erythrolamprus_reginae	royal ground snake (hap3 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Colubroidea;Dipsadidae;Erythrolamprus;
GCA_031021085.1	GCA_031021085.1_rEryReg1.hap2	121349	vertebrate	Erythrolamprus_reginae	royal ground snake (hap2 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Colubroidea;Dipsadidae;Erythrolamprus;
GCA_031468805.1	GCA_031468805.1_bMorBas2.hap1	37578	birds	Morus_bassanus	northern gannet (hap1 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Suliformes;Sulidae;Morus;
GCA_031877785.1	GCA_031877785.1_bStrAlu1.hap2	111821	birds	Strix_aluco	tawny owl (hap2 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Strigiformes;Strigidae;Strix;
GCA_031878655.1	GCA_031878655.1_mTapInd1.hap1	9802	mammals	Tapirus_indicus	Asiatic tapir (hap1 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Perissodactyla;Tapiridae;Tapirus;
GCA_031878665.1	GCA_031878665.1_mThoBot2.hap2	10013	mammals	Thomomys_bottae	Botta's pocket gopher (hap2 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Castorimorpha;Geomyidae;Thomomys;
GCA_031893025.1	GCA_031893025.1_aLepFus1.hap1	238119	vertebrate	Leptodactylus_fuscus	rufous frog (hap1 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Hyloidea;Leptodactylidae;Leptodactylinae;Leptodactylus;
GCA_032719375.1	GCA_032719375.1_Trm_1.0	8932	birds	Columba_livia	rock pigeon (Tarim TR01 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Columbimorphae;Columbiformes;Columbidae;Columba;
GCA_033296515.1	GCA_033296515.1_rMacSuw1.hap1	3026461	vertebrate	Macrochelys_suwanniensis	Suwannee snapping turtle (hap1 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Testudinata;Testudines;Cryptodira;Durocryptodira;Americhelydia;Chelydroidea;Chelydridae;Macrochelys;
