# accession	asmId	taxId	vgpClade	Scientific_name	UCSC_common_name	NCBI_taxon_string
GCA_003287225.2	GCA_003287225.2_phaCin_HiC	38626	mammals	Phascolarctos_cinereus	koala (Bilbo 61053 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Metatheria;Diprotodontia;Phascolarctidae;Phascolarctos;
GCA_005190385.3	GCA_005190385.3_NGI_Narwhal_2	40151	mammals	Monodon_monoceros	narwhal (Baffin Bay Population NGI 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Monodontidae;Monodon;
GCA_008658365.1	GCA_008658365.1_bAlcTor1_primary	28689	birds	Alca_torda	razorbill (2006_11_07_Graehlm_vinge_78 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Alcidae;Alca;
GCA_009764595.1	GCA_009764595.1_bGeoTri1.pri	135433	birds	Geothlypis_trichas	common yellowthroat (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Passeroidea;Parulidae;Geothlypis;
GCA_009769465.1	GCA_009769465.1_bTauEry1.pri	121530	birds	Tauraco_erythrolophus	red-crested turaco (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Otidimorphae;Musophagiformes;Musophagidae;Tauraco;
GCA_009769525.1	GCA_009769525.1_bPteGut1.pri	240206	birds	Pterocles_gutturalis	yellow-throated sandgrouse (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Columbimorphae;Pterocliformes;Pteroclidae;Pterocles;
GCA_009769605.1	GCA_009769605.1_bBucAby1.pri	153643	birds	Bucorvus_abyssinicus	Abyssinian ground-hornbill (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Coraciimorphae;Bucerotiformes;Bucorvidae;Bucorvus;
GCA_009819595.1	GCA_009819595.1_bMerNub1.pri	57421	birds	Merops_nubicus	carmine bee-eater (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Coraciimorphae;Coraciiformes;Meropidae;Merops;
GCA_009819605.1	GCA_009819605.1_bSteHir1.pri	108405	birds	Sterna_hirundo	common tern (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Laridae;Sterna;
GCA_009819775.1	GCA_009819775.1_bPhoRub2.pri	9218	birds	Phoenicopterus_ruber_ruber	American flamingo (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Mirandornithes;Phoenicopteriformes;Phoenicopteridae;Phoenicopterus;Phoenicopterusruber;
GCA_009819825.1	GCA_009819825.1_bCarCri1.pri	54380	birds	Cariama_cristata	red-legged seriema (primary hap 2019)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Cariamiformes;Cariamidae;Cariama;
GCA_009914755.4	GCA_009914755.4_T2T-CHM13v2.0	9606	primates	Homo_sapiens	human T2T CHM13 v2.0 (2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo;
GCA_011004875.1	GCA_011004875.1_bBalReg1.pri	100784	birds	Balearica_regulorum_gibbericeps	East African grey crowned-crane (primary hap 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Gruiformes;Gruidae;Balearica;Balearicaregulorum;
GCA_011762505.3	GCA_011762505.3_mArvNil1.pat.X	61156	mammals	Arvicanthis_niloticus	African grass rat (v3 paternal hap 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Arvicanthis;
GCA_013358685.1	GCA_013358685.1_fAntMac1.pri	882753	fish	Antennarius_maculatus	warty frogfish (primary hap 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Lophiiformes;Antennarioidei;Antennariidae;Antennarius;
GCA_014706295.1	GCA_014706295.1_ASM1470629v1	2767082	birds	Lycocorax_pyrrhopterus_obiensis	Obi paradise-crow (lycPyr6 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Corvoidea;Paradisaeidae;Lycocorax;Lycocoraxpyrrhopterus;
GCA_014839685.1	GCA_014839685.1_fAnaAna1.pri	195821	fish	Anableps_anableps	largescale foureyes (primary hap 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Cyprinodontiformes;Cyprinodontoidei;Anablepidae;Anablepinae;Anableps;
GCA_014839755.1	GCA_014839755.1_bSylBor1.pri	73324	birds	Sylvia_borin	garden warbler (primary hap 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Sylvioidea;Sylviidae;Sylviinae;Sylvia;
GCA_014839995.1	GCA_014839995.1_fXenCan1.pri	129108	fish	Xenentodon_cancila	freshwater garfish (primary hap 2020)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Atherinomorphae;Beloniformes;Belonoidei;Belonidae;Xenentodon;
GCA_015852565.1	GCA_015852565.1_bf_hap-2	2700039	invertebrate	Branchiostoma_floridae_x_Branchiostoma_japonicum	lancelets B.floridae x B.japonicum (bjbf 2020)	Bilateria;Deuterostomia;Chordata;Cephalochordata;Leptocardii;Amphioxiformes;Branchiostomatidae;Branchiostoma;
GCA_016904835.1	GCA_016904835.1_bAcaChl1.pri	57068	birds	Acanthisitta_chloris	rifleman (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Acanthisittidae;Acanthisitta;
GCA_017639485.1	GCA_017639485.1_bPluApr1.pri	670352	birds	Pluvialis_apricaria	European golden plover (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Charadriidae;Pluvialis;
GCA_017639555.1	GCA_017639555.1_bCicMag1.pri	52777	birds	Ciconia_maguari	maguari stork (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Ciconiiformes;Ciconiidae;Ciconia;
GCA_017639675.1	GCA_017639675.1_fAplTae1.pri	946358	fish	Aplochiton_taeniatus	peladilla (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Protacanthopterygii;Galaxiiformes;Galaxiidae;Galaxiinae;Aplochitonini;Aplochiton;
GCA_019207075.1	GCA_019207075.1_Bb-hap	2700040	invertebrate	Branchiostoma_floridae_x_Branchiostoma_belcheri	lancelets B.floridae x B.belcheri (bbbf 2021)	Bilateria;Deuterostomia;Chordata;Cephalochordata;Leptocardii;Amphioxiformes;Branchiostomatidae;Branchiostoma;
GCA_019677235.1	GCA_019677235.1_HNU_Msal_1.0	27706	fish	Micropterus_salmoides	largemouth bass (2-A1 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Centrarchiformes;Centrarchoidei;Centrarchidae;Micropterus;
GCA_020510985.1	GCA_020510985.1_fPhoLeu1.pri	390368	fish	Pholidichthys_leucotaenia	convict blenny (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Ovalentaria;Cichlomorphae;Cichliformes;Pholidichthyidae;Pholidichthys;
GCA_020745685.1	GCA_020745685.1_fTauAds1.pri.cur	34787	fish	Tautogolabrus_adspersus	cunner (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Labriformes;Labridae;Tautogolabrus;
GCA_020745705.1	GCA_020745705.1_bHemCom1.pri.cur	243314	birds	Hemiprocne_comata	whiskered treeswift (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Strisores;Apodiformes;Apodidae;Hemiprocninae;Hemiprocne;
GCA_020745775.1	GCA_020745775.1_bTheCae1.pri.cur	1118847	birds	Theristicus_caerulescens	plumbeous ibis (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Pelecaniformes;Threskiornithidae;Theristicus;
GCA_020746105.1	GCA_020746105.1_bTroSur1.pri.cur	297711	birds	Trogon_surrucura	Suruca trogon (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Coraciimorphae;Trogoniformes;Trogonidae;Trogon;
GCA_020800305.1	GCA_020800305.1_bPorHoc1.mat.Z.cur	439704	birds	Porphyrio_hochstetteri	South Island takahe (primary hap 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Gruiformes;Rallidae;Porphyrio;
GCA_021292165.1	GCA_021292165.1_IOZ_Scro_1.0	52224	vertebrate	Shinisaurus_crocodilurus	Chinese crocodile lizard (Guangxi GXDGS128 2021)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Anguimorpha;Paleoanguimorpha;Shinisauridae;Shinisaurus;
GCA_022682495.2	GCA_022682495.2_HLdesRot8A.1	9430	mammals	Desmodus_rotundus	common vampire bat (v2 HL8 primary hap 2022 genbank)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Phyllostomidae;Desmodontinae;Desmodus;
GCA_023333525.2	GCA_023333525.2_rAspTig1.1.pri	2917703	vertebrate	Aspidoscelis_tigris_stejnegeri	San Diegan tiger whiptail (v1.1 HBS 135688 primary hap 2025)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Laterata;Teiioidea;Teiidae;Aspidoscelis;Aspidoscelistigrisgroup;Aspidoscelistigris;
GCA_023637945.2	GCA_023637945.2_bPhaSup1.pri	46513	birds	Phaethornis_superciliosus	long-tailed hermit (v2 PSU5 primary hap 2025)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Strisores;Apodiformes;Trochilidae;Phaethornis;
GCA_023851605.1	GCA_023851605.1_mTamTet1.pri	48850	mammals	Tamandua_tetradactyla	southern tamandua (mTamTet1 primary hap 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Xenarthra;Pilosa;Vermilingua;Myrmecophagidae;Tamandua;
GCA_024256435.1	GCA_024256435.1_CGAR_Hap1	13013	fish	Clarias_gariepinus	North African catfish (Netherlands MV-2021 primary hap 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Characiphysae;Siluriformes;Siluroidei;Clariidae;Clarias;
GCA_024294585.1	GCA_024294585.1_rVipLat1.pri	246179	vertebrate	Vipera_latastei	Lataste's viper (primary hap 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Colubroidea;Viperidae;Viperinae;Vipera;
GCA_026018925.1	GCA_026018925.1_mTupTan1	70687	mammals	Tupaia_tana	large tree shrew (BS70 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Scandentia;Tupaiidae;Tupaia;
GCA_026229955.1	GCA_026229955.1_mPerMan1.0.p	372063	mammals	Peromyscus_maniculatus_sonoriensis	North American deer mouse (MVZ:Mamm:240117 primary hap 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Neotominae;Peromyscus;Peromyscusmaniculatus;
GCA_026230055.1	GCA_026230055.1_mCorTow1.0.hap1	124745	mammals	Corynorhinus_townsendii	Townsend's big-eared bat (haplotype 1 of 2 COTO_CA2020_CCGP 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Vespertilionidae;Corynorhinus;
GCA_026652325.1	GCA_026652325.1_ASM2665232v1	8319	vertebrate	Pleurodeles_waltl	Iberian ribbed newt (20211129_DDA 2022 genbank)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Caudata;Salamandroidea;Salamandridae;Pleurodelinae;Pleurodeles;
GCA_027410445.1	GCA_027410445.1_aDisPic1.pri	8351	vertebrate	Discoglossus_pictus	painted frog (primary hap 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Alytidae;Discoglossinae;Discoglossus;
GCA_027474245.1	GCA_027474245.1_bSphHub1.pri	9240	birds	Spheniscus_humboldti	Humboldt's penguin (bSphHub1 primary hap 2022)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Aequornithes;Sphenisciformes;Spheniscidae;Spheniscus;
GCA_027559615.1	GCA_027559615.1_bAcrTri1.pri	279927	birds	Acridotheres_tristis	common myna (bArcTri1 primary hap 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Sturnidae;Acridotheres;
GCA_027563665.1	GCA_027563665.1_DD_ASM_mAP_20210503	9440	mammals	Antrozous_pallidus	pallid bat (TK200870 primary hap 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yangochiroptera;Vespertilionidae;Antrozous;
GCA_027574665.1	GCA_027574665.1_bRhyJub1.pri	54386	birds	Rhynochetos_jubatus	kagu (bRhyJub1 primary hap 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Phaethontimorphae;Eurypygiformes;Rhynochetidae;Rhynochetos;
GCA_027917425.1	GCA_027917425.1_aGasCar1.pri	8429	vertebrate	Gastrophryne_carolinensis	eastern narrow-mouthed toad (primary haplotype 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Microhyloidea;Microhylidae;Gastrophryninae;Gastrophryne;
